,ar,spa,fjoldi_lm,fjoldi,fjoldi_hm
0,1998,False,164606,164606,164606
1,1999,False,168344,168344,168344
2,2000,False,171792,171792,171792
3,2001,False,175427,175427,175427
4,2002,False,178301,178301,178301
5,2003,False,179992,179992,179992
6,2004,False,181917,181917,181917
7,2005,False,184244,184244,184244
8,2006,False,187426,187426,187426
9,2007,False,191919,191919,191919
10,2008,False,197945,197945,197945
11,2009,False,201251,201251,201251
12,2010,False,200907,200907,200907
13,2011,False,202341,202341,202341
14,2012,False,203594,203594,203594
15,2013,False,205675,205675,205675
16,2014,False,208752,208752,208752
17,2015,False,211282,211282,211282
18,2016,False,213619,213619,213619
19,2017,False,216878,216878,216878
20,2018,False,222484,222484,222484
21,2019,False,228231,228231,228231
22,2020,False,233034,233034,233034
23,2021,False,236528,236528,236528
24,2022,True,240792,242259,243669
25,2023,True,245105,248479,251840
26,2024,True,250568,255399,260252
27,2025,True,257005,263133,269319
28,2026,True,264642,272010,279579
29,2027,True,263659,271938,280539
30,2028,True,262842,272115,281511
31,2029,True,262660,272822,283096
32,2030,True,263267,274247,285405
33,2031,True,264104,275998,288026
34,2032,True,265155,277893,290739
35,2033,True,266258,279867,293391
36,2034,True,267493,281920,296215
37,2035,True,268713,283996,299125
38,2036,True,270094,286085,301989
39,2037,True,271668,288183,304899
40,2038,True,272856,290255,307767
41,2039,True,274297,292308,310556
42,2040,True,275682,294362,313219
43,2041,True,277014,296392,315602
44,2042,True,278463,298392,318351
45,2043,True,279894,300361,320741
46,2044,True,281232,302291,323401
47,2045,True,282440,304183,325910
48,2046,True,283711,306049,328626
49,2047,True,285001,307910,330846
50,2048,True,286279,309752,333190
51,2049,True,287502,311558,335813
52,2050,True,288542,313380,338134
53,2051,True,289817,315221,340640
54,2052,True,291120,317060,342914
55,2053,True,292611,318899,345510
56,2054,True,293836,320746,348119
57,2055,True,295246,322626,350572
58,2056,True,296546,324541,353107
59,2057,True,297998,326462,355716
60,2058,True,299332,328387,358089
61,2059,True,300340,330302,360519
62,2060,True,301579,332195,362863
63,2061,True,302804,334075,365444
64,2062,True,304073,335915,367927
65,2063,True,305207,337730,370362
66,2064,True,306416,339544,373068
67,2065,True,307536,341302,375372
68,2066,True,308649,343009,377593
69,2067,True,309699,344664,379814
70,2068,True,310577,346298,382008
71,2069,True,311477,347885,384331
72,2070,True,312283,349414,386285
